Iteration	likelihood	prior	acceptance	tree	lambda1	lambda2	lambda3	mu1	mu2	mu3	q12	q13	q21	q23	q31	q32	g_lamb	g_mu	g_q	
70000	 -386.561871120548	 23.7317111080532	 0.393930555555556	 1	 0.149637182742245	 0.0947500037437235	 0.179379700579493	 0.100846765007963	 0.0128193114885784	 0.0310401271877863	 0.00671468388105724	 0.00551828793841269	 0.000274145029050025	 0.00718999711138409	 0.000556232929485228	 0.00798157656757697	 0.197828375569286	 0.0856689234318763	 0.00287479563310153	 
72000	 -386.310570379605	 31.706897410997	 0.393364864864865	 1	 0.107743991600043	 0.142421042583336	 0.166009358198193	 0.00300023330727727	 0.0444759487336836	 0.000493209734326587	 0.000264138183347163	 0.000461525354371264	 0.00242888504585929	 0.0124433419034029	 0.00200275696203057	 0.000126895302144586	 0.0450100140358694	 0.0090648018547989	 0.00147520511488339	 
74000	 -390.102195540562	 25.3794098360732	 0.393828947368421	 1	 0.201764211051724	 0.132631580617861	 0.16768831559821	 0.00197367566138956	 0.0472323954867497	 0.0100063293096638	 0.00859965256769822	 0.00476539951937872	 0.00966607873581672	 0.0094699263366703	 0.000466018255039404	 0.00208434490041713	 0.173949308867284	 0.0225037238792046	 0.0067008083319889	 
76000	 -388.897107696597	 24.4837220619164	 0.393692307692308	 1	 0.151560428838433	 0.0852448889345136	 0.181533688879983	 0.0976444958980381	 0.0446524573776422	 0.0255598476379406	 0.00266359175218279	 0.0075648255657117	 0.00297045314964829	 0.00283983633981194	 3.39218303948731e-05	 0.0098107979317739	 0.0721995581509643	 0.0629509513022038	 0.00432638534850784	 
78000	 -388.31201124986	 26.697647785369	 0.3940625	 1	 0.0868037674415503	 0.0944248031236459	 0.171840329750107	 0.0337861361665348	 0.00165530201589188	 0.0486401357414315	 0.0029780459895326	 0.00460474738334031	 0.000171736130009543	 0.00330435160197536	 0.000638735315338934	 0.00433550750443465	 0.692298346086408	 0.0309206524537014	 0.00287560636742961	 
80000	 -388.485911464288	 21.9284738379446	 0.39359756097561	 1	 0.233311243494653	 0.181513004144325	 0.189286487540177	 0.210687292362319	 0.0972766880214398	 0.0414955519534822	 0.000834343636428963	 0.00108352043813125	 8.42610160853241e-05	 0.0238810630104088	 0.000531902418966712	 0.00279804810909305	 0.113503952382879	 0.294351435254379	 0.00253364868144455	 
82000	 -387.823692739195	 20.9170030071141	 0.393369047619048	 1	 0.219764303132274	 0.100870275515058	 0.200638786847135	 0.154287468579301	 0.00224458953035361	 0.0306716543822895	 0.00484155390119346	 0.0110897684664368	 0.00395216998502619	 0.00257012318774935	 0.000754704484844388	 0.00294297605512125	 0.85655331001673	 0.00786955749771933	 0.00378222480220049	 
84000	 -392.038818631137	 19.7513619860078	 0.393116279069767	 1	 0.196847259113358	 0.210699906167143	 0.163618198531688	 0.100188532242011	 0.0712729323269731	 0.0188014824623263	 7.95436905919006e-05	 0.000394505177103683	 0.00161456572078106	 0.00328286536223047	 0.0017832315131082	 0.00444264051490245	 5.13399862338067	 0.138037321944349	 0.0018789578941663	 
86000	 -388.113783702144	 22.8226537466936	 0.392704545454545	 1	 0.284367555386164	 0.19636776161315	 0.194363381739783	 0.187109519893838	 0.154097856530144	 0.0528493683760238	 0.0025249852700937	 0.000331133645775102	 0.00237551661135751	 0.0108707291058798	 0.00152156813213488	 0.000471700520871616	 0.172393996048447	 0.203880272108585	 0.000699963585885479	 
88000	 -388.672476842701	 22.2355873373618	 0.391955555555556	 1	 0.18750842229313	 0.206682761213655	 0.16250249681378	 0.139544194293673	 0.0709169689637026	 0.0418667430634786	 0.0031860498366241	 0.000281109118166459	 0.000861017936825013	 0.0199713120870823	 0.000476956805496035	 0.00102839486298932	 0.373437809846855	 0.457848232665487	 0.00092425437312836	 
90000	 -386.656018816963	 25.7958459763414	 0.391586956521739	 1	 0.190325619311191	 0.074940476713533	 0.181797921652484	 0.162888456839106	 0.00400728532655762	 0.0556369481948148	 0.00357286413789335	 0.00425330424939942	 0.000261802010356331	 0.00107126944859588	 0.000193767541468387	 0.00686016517037831	 0.201320820491328	 0.0578107920607837	 0.00391784385061826	 
92000	 -387.221632562771	 29.1238750657682	 0.39163829787234	 1	 0.139577414927924	 0.126324098756416	 0.174651957248729	 0.0716237673728644	 0.00802254292008682	 0.00249812235460991	 0.00444174554191693	 0.00206848512376455	 0.00144852821232875	 0.00745796937560237	 0.00239895158591336	 0.00188990264311376	 0.115797764363925	 0.0202299794397164	 0.00274333806604987	 
94000	 -387.578195233935	 20.648099371168	 0.391822916666667	 1	 0.106803659141145	 0.14206899134211	 0.173537184917091	 0.0777500319129976	 0.0427103779541009	 0.0376122330475894	 0.00701842761106538	 0.00615472947750893	 0.000143482239966696	 0.00294048559917656	 0.000313739407529598	 0.00233699128486495	 0.172412840836728	 0.881376329077884	 0.00254851983165176	 
96000	 -389.640500480868	 30.3733057493986	 0.392010204081633	 1	 0.211120619372426	 0.0823537610957066	 0.153712898852091	 0.0206895672516369	 0.00126952350957874	 0.00286355343533862	 0.00267612800722898	 0.000817005734848189	 0.00906026066901857	 0.0104609682070164	 0.00108784499261049	 0.00536518716665478	 0.156200060969644	 0.0028991402979517	 0.00339739851709205	 
98000	 -389.336712978082	 23.2351679266522	 0.392	 1	 0.177218935191544	 0.173197284654117	 0.201880967843041	 0.127003279650051	 0.00917997873224649	 0.0420499753640316	 0.00753652550894833	 0.00498979217665003	 0.00288962079958046	 0.0110305652238965	 0.00142698648512969	 0.00278497036493969	 0.224375322103923	 0.038775990828162	 0.0044171467498543	 
